country,sex,audio_length,max_freq,db,continent
togo,male,40.96058957,22050.0,32.96765033,africa
trinidad,famale,23.78036281,22050.0,33.46586773,south america
tunisia,famale,32.516825399999995,22050.0,30.348121799999998,africa
tunisia,male,42.00384354,22050.0,31.69907336,africa
turkey,famale,25.469023800000002,21401.78571,31.20776842,asia
turkey,male,27.154380100000004,21617.85714,30.817223100000003,asia
turkmenistan,male,27.60852608,22050.0,31.65372259,asia
uganda,famale,37.44891156,22050.0,32.59685434,africa
uganda,male,26.64748299,22050.0,32.10169954,africa
uk,famale,23.40138228,21590.625,31.84408763,europe
uk,male,23.05119601,21793.60465,31.33849104,europe
ukraine,famale,27.64813853,22050.0,31.74185736,europe
ukraine,male,27.27797808,22050.0,31.28977244,europe
united arab emirates,famale,26.694046000000004,22050.0,31.06749133,asia
united arab emirates,male,54.19439909,22050.0,31.16775364,asia
uruguay,famale,25.07469388,22050.0,31.99558232,south america
uruguay,male,22.75384732,22050.0,32.47252114,south america
us virgin islands,male,32.20761905,22050.0,29.72929502,north america
usa,famale,23.20252545,21663.73057,31.40477165,north america
usa,male,22.85731779,22010.98485,31.27330807,north america
uzbekistan,famale,28.96415122,22700.0,32.88812278,asia
uzbekistan,male,23.17793651,22050.0,33.35095529,asia
venezuela,famale,20.95547997,22050.0,32.48571055,south america
venezuela,male,28.00333617,22050.0,30.8317401,south america
vietnam,famale,32.92156715,22050.0,31.60793584,asia
vietnam,male,33.11954823,21201.92308,32.23806857,asia
usa,male,29.97519274,22050.0,32.34347642,north america
yemen,male,26.30285714,22050.0,29.90752887,asia
yugoslavia,male,38.64641723,22050.0,33.19971996,europe
zambia,famale,19.32984127,22050.0,30.26808261,africa
zimbabwe,famale,25.24767196,22050.0,32.8299632,africa
